bucket,key,size_bytes,created,owner,policy_id
support-bucket,legal-bucket/contracts/agreement_43.pdf,4359849985,2024-05-02T01:12:30Z,Finance,POL-MKT-3Y
engineering-bucket,legal-bucket/contracts/agreement_44.pdf,3953533040,2021-08-02T10:26:16Z,Support,POL-ENG-3Y
devops-bucket,support-bucket/tickets/case_45.json,4541759668,2023-06-30T01:00:28Z,Sales,POL-MKT-3Y
sales-bucket,marketing-bucket/assets/2023/brand_logo_46.png,4170837250,2024-08-25T19:52:59Z,Engineering,POL-ANL-1Y
finance-bucket,support-bucket/tickets/case_47.json,8863758291,2021-09-09T01:28:58Z,Sales,POL-OPS-2Y
engineering-bucket,analytics-bucket/raw/events_48.parquet,19290712814,2025-02-11T01:44:04Z,IT,POL-LGL-7Y
sales-bucket,marketing-bucket/assets/2023/brand_logo_49.png,18132161978,2023-04-11T02:07:03Z,Marketing,POL-IT-5Y
engineering-bucket,hr-bucket/files/employee_50.docx,6160716251,2020-12-04T19:11:22Z,Legal,POL-SUP-1Y
sales-bucket,marketing-bucket/assets/2023/brand_logo_51.png,3861191592,2024-04-25T23:50:41Z,Operations,POL-LGL-7Y
hr-bucket,analytics-bucket/raw/events_52.parquet,17185204922,2023-11-17T18:27:33Z,Finance,POL-OPS-2Y
sales-bucket,analytics-bucket/raw/events_53.parquet,7067450444,2025-01-10T03:56:31Z,IT,POL-FIN-7Y
finance-bucket,support-bucket/tickets/case_54.json,7393448507,2022-06-26T11:48:32Z,HR,POL-HR-5Y
legal-bucket,support-bucket/tickets/case_55.json,18261632099,2021-06-06T05:33:10Z,Sales,POL-ANL-1Y
finance-bucket,marketing-bucket/assets/2023/brand_logo_56.png,11903490925,2022-04-19T00:34:43Z,IT,POL-HR-5Y
hr-bucket,hr-bucket/files/employee_57.docx,5595633374,2020-06-16T03:25:42Z,Engineering,POL-IT-5Y
engineering-bucket,support-bucket/tickets/case_58.json,16548612319,2023-04-21T08:58:55Z,Engineering,POL-ANL-1Y
legal-bucket,analytics-bucket/raw/events_59.parquet,5127855613,2023-10-20T10:38:36Z,Marketing,POL-SAL-2Y
support-bucket,analytics-bucket/raw/events_60.parquet,13470052198,2024-11-17T00:28:17Z,IT,POL-MKT-3Y
support-bucket,sales-bucket/presentations/deck_61.pptx,6904331379,2021-05-21T11:52:30Z,Finance,POL-ANL-1Y
engineering-bucket,marketing-bucket/assets/2023/brand_logo_62.png,16202578681,2024-10-02T17:02:04Z,Analytics,POL-MKT-3Y
legal-bucket,marketing-bucket/assets/2023/brand_logo_63.png,13157367491,2021-12-27T03:59:44Z,HR,POL-MKT-3Y
marketing-bucket,sales-bucket/presentations/deck_64.pptx,17604319817,2021-04-21T11:26:40Z,IT,POL-LGL-7Y
support-bucket,legal-bucket/contracts/agreement_65.pdf,340218953,2023-07-18T07:58:32Z,IT,POL-MKT-3Y
engineering-bucket,legal-bucket/contracts/agreement_66.pdf,17179030144,2022-01-28T11:45:07Z,Analytics,POL-MKT-3Y
legal-bucket,engineering-bucket/builds/artifact_67.jar,2030126843,2021-10-13T04:09:20Z,Legal,POL-MKT-3Y
analytics-bucket,analytics-bucket/raw/events_68.parquet,19860175372,2022-07-20T06:48:03Z,HR,POL-SUP-1Y
sales-bucket,analytics-bucket/raw/events_69.parquet,19554698400,2025-05-01T06:57:14Z,Finance,POL-ENG-3Y
support-bucket,legal-bucket/contracts/agreement_70.pdf,5919242168,2024-08-16T18:10:19Z,Analytics,POL-ANL-1Y
support-bucket,analytics-bucket/raw/events_71.parquet,5900271775,2025-03-26T02:20:45Z,HR,POL-ENG-3Y
finance-bucket,support-bucket/tickets/case_72.json,8374271298,2023-05-05T06:14:44Z,Analytics,POL-ANL-1Y
hr-bucket,analytics-bucket/raw/events_73.parquet,11942544203,2024-02-14T12:05:13Z,Support,POL-SUP-1Y
analytics-bucket,marketing-bucket/assets/2023/brand_logo_74.png,8099612129,2020-03-16T12:59:46Z,IT,POL-SUP-1Y
support-bucket,finance-bucket/reports/invoice_75.pdf,8474419146,2023-03-13T12:06:27Z,IT,POL-ANL-1Y
engineering-bucket,finance-bucket/reports/invoice_76.pdf,13883594241,2020-06-08T08:24:41Z,Legal,POL-IT-5Y
support-bucket,engineering-bucket/builds/artifact_77.jar,15406072904,2020-04-14T10:01:31Z,Finance,POL-FIN-7Y
hr-bucket,marketing-bucket/assets/2023/brand_logo_78.png,5379655608,2022-07-24T22:22:39Z,HR,POL-IT-5Y
analytics-bucket,legal-bucket/contracts/agreement_79.pdf,17540801168,2023-11-16T10:59:27Z,Engineering,POL-FIN-7Y
finance-bucket,marketing-bucket/assets/2023/brand_logo_80.png,17868676774,2022-05-22T05:48:44Z,Legal,POL-FIN-7Y
engineering-bucket,legal-bucket/contracts/agreement_81.pdf,1546779323,2023-06-26T16:09:52Z,Sales,POL-MKT-3Y
analytics-bucket,marketing-bucket/assets/2023/brand_logo_82.png,12812684317,2022-03-25T14:08:37Z,HR,POL-OPS-2Y
support-bucket,sales-bucket/presentations/deck_83.pptx,4348969069,2020-06-20T06:56:36Z,IT,POL-ANL-1Y
data-lake-bucket,finance-bucket/reports/invoice_84.pdf,18220054192,2022-02-01T06:45:01Z,Finance,POL-MKT-3Y
sales-bucket,finance-bucket/reports/invoice_85.pdf,1547819977,2020-07-06T21:04:47Z,HR,POL-SAL-2Y
finance-bucket,engineering-bucket/builds/artifact_86.jar,11020565779,2020-08-03T09:40:26Z,HR,POL-HR-5Y
sales-bucket,hr-bucket/files/employee_87.docx,3896415406,2021-06-15T04:58:29Z,Support,POL-OPS-2Y
data-lake-bucket,support-bucket/tickets/case_88.json,14099664981,2025-01-31T16:48:35Z,Marketing,POL-ENG-3Y
data-lake-bucket,engineering-bucket/builds/artifact_89.jar,1885439187,2024-08-13T06:27:30Z,HR,POL-SAL-2Y
finance-bucket,finance-bucket/reports/invoice_90.pdf,1313725595,2024-05-05T05:25:43Z,IT,POL-SAL-2Y
sales-bucket,finance-bucket/reports/invoice_91.pdf,8809846266,2024-02-03T17:38:49Z,Support,POL-MKT-3Y
devops-bucket,engineering-bucket/builds/artifact_92.jar,567596271,2023-02-07T00:50:16Z,Analytics,POL-SUP-1Y
support-bucket,marketing-bucket/assets/2023/brand_logo_93.png,4013796606,2021-07-25T06:51:29Z,Sales,POL-FIN-7Y
legal-bucket,marketing-bucket/assets/2023/brand_logo_94.png,19782158845,2020-10-13T22:31:54Z,Marketing,POL-MKT-3Y
support-bucket,analytics-bucket/raw/events_95.parquet,18524928268,2023-03-29T00:05:54Z,Engineering,POL-ENG-3Y
data-lake-bucket,legal-bucket/contracts/agreement_96.pdf,9483889962,2021-11-06T10:02:27Z,Marketing,POL-LGL-7Y
engineering-bucket,support-bucket/tickets/case_97.json,578196684,2020-08-27T20:01:47Z,Sales,POL-LGL-7Y
finance-bucket,marketing-bucket/assets/2023/brand_logo_98.png,7376921914,2023-11-30T20:03:43Z,Legal,POL-OPS-2Y
legal-bucket,hr-bucket/files/employee_99.docx,10795876365,2023-09-01T01:35:25Z,Sales,POL-FIN-7Y
engineering-bucket,legal-bucket/contracts/agreement_100.pdf,4659676085,2024-03-07T13:43:56Z,Legal,POL-IT-5Y
finance-bucket,analytics-bucket/raw/events_101.parquet,69187291,2022-10-07T12:36:34Z,Engineering,POL-MKT-3Y
data-lake-bucket,hr-bucket/files/employee_102.docx,5421004763,2022-10-30T14:57:25Z,Legal,POL-IT-5Y
hr-bucket,marketing-bucket/assets/2023/brand_logo_103.png,6264487557,2020-07-29T08:26:35Z,HR,POL-MKT-3Y
data-lake-bucket,engineering-bucket/builds/artifact_104.jar,19632132228,2020-12-28T15:30:35Z,Support,POL-ANL-1Y
engineering-bucket,hr-bucket/files/employee_105.docx,7250422732,2022-01-04T09:13:42Z,HR,POL-LGL-7Y
analytics-bucket,support-bucket/tickets/case_106.json,18828960868,2023-10-08T22:11:52Z,Marketing,POL-LGL-7Y
devops-bucket,engineering-bucket/builds/artifact_107.jar,15023524079,2023-07-26T18:08:54Z,Support,POL-OPS-2Y
engineering-bucket,sales-bucket/presentations/deck_108.pptx,10245022284,2021-11-04T06:57:11Z,Analytics,POL-MKT-3Y
data-lake-bucket,sales-bucket/presentations/deck_109.pptx,16286900863,2021-07-26T12:18:41Z,Support,POL-HR-5Y
marketing-bucket,hr-bucket/files/employee_110.docx,14972113520,2023-01-30T23:39:22Z,Analytics,POL-SAL-2Y
marketing-bucket,legal-bucket/contracts/agreement_111.pdf,10083757928,2024-01-25T02:12:05Z,Engineering,POL-LGL-7Y
data-lake-bucket,support-bucket/tickets/case_112.json,18306363156,2021-10-24T04:54:43Z,Marketing,POL-IT-5Y
sales-bucket,hr-bucket/files/employee_113.docx,18667690498,2021-12-01T21:50:30Z,Sales,POL-OPS-2Y
engineering-bucket,finance-bucket/reports/invoice_114.pdf,7761363984,2022-03-08T02:43:24Z,Operations,POL-OPS-2Y
marketing-bucket,finance-bucket/reports/invoice_115.pdf,7340011375,2021-02-18T05:19:37Z,Marketing,POL-LGL-7Y
analytics-bucket,engineering-bucket/builds/artifact_116.jar,14795826034,2025-10-11T22:46:05Z,Operations,POL-IT-5Y
data-lake-bucket,analytics-bucket/raw/events_117.parquet,2448082418,2020-03-30T18:34:55Z,HR,POL-SAL-2Y
marketing-bucket,finance-bucket/reports/invoice_118.pdf,16798066951,2022-03-31T21:31:28Z,Legal,POL-FIN-7Y
engineering-bucket,sales-bucket/presentations/deck_119.pptx,9849027195,2022-03-17T23:22:28Z,Operations,POL-ENG-3Y
finance-bucket,support-bucket/tickets/case_120.json,9124353512,2020-04-08T02:26:21Z,Operations,POL-SAL-2Y
engineering-bucket,sales-bucket/presentations/deck_121.pptx,10020344059,2023-05-22T04:14:27Z,Legal,POL-ANL-1Y
marketing-bucket,sales-bucket/presentations/deck_122.pptx,12931209963,2023-12-26T13:35:32Z,Support,POL-MKT-3Y
analytics-bucket,engineering-bucket/builds/artifact_123.jar,12406690324,2024-05-07T10:22:57Z,Sales,POL-ENG-3Y
sales-bucket,legal-bucket/contracts/agreement_124.pdf,19516017206,2025-02-08T22:20:09Z,IT,POL-OPS-2Y
devops-bucket,legal-bucket/contracts/agreement_125.pdf,5676692539,2021-12-22T05:09:10Z,IT,POL-HR-5Y
legal-bucket,legal-bucket/contracts/agreement_126.pdf,15472963558,2025-06-13T06:14:28Z,Marketing,POL-LGL-7Y
marketing-bucket,support-bucket/tickets/case_127.json,5613228602,2023-09-03T03:16:15Z,IT,POL-OPS-2Y
marketing-bucket,marketing-bucket/assets/2023/brand_logo_128.png,72645601,2022-05-11T06:55:56Z,Engineering,POL-IT-5Y
devops-bucket,analytics-bucket/raw/events_129.parquet,19484983290,2025-07-12T00:11:26Z,IT,POL-ANL-1Y
data-lake-bucket,hr-bucket/files/employee_130.docx,860591542,2024-06-16T00:40:00Z,Support,POL-ANL-1Y
marketing-bucket,legal-bucket/contracts/agreement_131.pdf,15573788678,2023-06-17T08:39:27Z,Analytics,POL-LGL-7Y
hr-bucket,hr-bucket/files/employee_132.docx,1060902728,2021-11-07T18:34:04Z,Analytics,POL-MKT-3Y
data-lake-bucket,marketing-bucket/assets/2023/brand_logo_133.png,11811269746,2024-05-25T03:02:35Z,HR,POL-SUP-1Y
marketing-bucket,analytics-bucket/raw/events_134.parquet,13291468569,2025-07-31T19:39:19Z,Marketing,POL-HR-5Y
analytics-bucket,legal-bucket/contracts/agreement_135.pdf,12593481387,2024-06-27T03:28:02Z,HR,POL-IT-5Y
hr-bucket,engineering-bucket/builds/artifact_136.jar,10897288141,2021-12-29T15:16:46Z,Marketing,POL-IT-5Y
sales-bucket,marketing-bucket/assets/2023/brand_logo_137.png,2927200740,2024-03-22T02:47:46Z,Legal,POL-HR-5Y
data-lake-bucket,engineering-bucket/builds/artifact_138.jar,3548217182,2021-03-29T04:10:13Z,Analytics,POL-HR-5Y
support-bucket,support-bucket/tickets/case_139.json,18679204190,2024-07-16T05:23:24Z,HR,POL-ANL-1Y
marketing-bucket,engineering-bucket/builds/artifact_140.jar,2120713534,2024-11-20T04:38:28Z,Operations,POL-SUP-1Y
hr-bucket,hr-bucket/files/employee_141.docx,2104415782,2025-09-28T00:58:48Z,Analytics,POL-SAL-2Y
analytics-bucket,sales-bucket/presentations/deck_142.pptx,3473160532,2023-08-20T12:55:57Z,HR,POL-IT-5Y
analytics-bucket,engineering-bucket/builds/artifact_143.jar,2455991797,2024-04-13T13:57:23Z,Sales,POL-SAL-2Y
support-bucket,sales-bucket/presentations/deck_144.pptx,19665039289,2023-12-23T20:59:12Z,IT,POL-SAL-2Y
analytics-bucket,legal-bucket/contracts/agreement_145.pdf,1537274402,2021-11-17T12:39:38Z,Operations,POL-SUP-1Y
devops-bucket,support-bucket/tickets/case_146.json,10043352326,2021-04-02T10:55:59Z,Marketing,POL-IT-5Y
support-bucket,sales-bucket/presentations/deck_147.pptx,11013269981,2023-03-15T03:30:21Z,Support,POL-OPS-2Y
marketing-bucket,analytics-bucket/raw/events_148.parquet,3741550362,2022-08-28T17:28:33Z,Support,POL-MKT-3Y
legal-bucket,sales-bucket/presentations/deck_149.pptx,14897299462,2020-06-14T12:53:52Z,Engineering,POL-MKT-3Y
sales-bucket,sales-bucket/presentations/deck_150.pptx,6131414360,2022-04-10T17:29:38Z,Operations,POL-LGL-7Y
legal-bucket,marketing-bucket/assets/2023/brand_logo_151.png,1228390588,2021-11-08T22:20:55Z,Sales,POL-FIN-7Y
legal-bucket,finance-bucket/reports/invoice_152.pdf,17484512845,2024-08-06T21:12:04Z,Support,POL-FIN-7Y
analytics-bucket,finance-bucket/reports/invoice_153.pdf,10740164901,2020-01-11T16:51:46Z,IT,POL-OPS-2Y
marketing-bucket,sales-bucket/presentations/deck_154.pptx,9656851845,2021-07-09T10:44:18Z,Sales,POL-SAL-2Y
engineering-bucket,finance-bucket/reports/invoice_155.pdf,14145855231,2020-01-24T00:46:17Z,IT,POL-HR-5Y
finance-bucket,marketing-bucket/assets/2023/brand_logo_156.png,9510526421,2024-04-13T14:42:56Z,Legal,POL-SUP-1Y
engineering-bucket,engineering-bucket/builds/artifact_157.jar,3525885560,2022-01-30T19:45:26Z,Operations,POL-HR-5Y
support-bucket,finance-bucket/reports/invoice_158.pdf,6739063911,2023-10-06T14:00:08Z,Sales,POL-IT-5Y
engineering-bucket,marketing-bucket/assets/2023/brand_logo_159.png,1145763671,2025-07-19T21:26:29Z,Support,POL-ENG-3Y
analytics-bucket,analytics-bucket/raw/events_160.parquet,9811779435,2020-11-07T00:01:07Z,Support,POL-HR-5Y
hr-bucket,marketing-bucket/assets/2023/brand_logo_161.png,19244882539,2024-02-07T00:31:17Z,Support,POL-SUP-1Y
hr-bucket,legal-bucket/contracts/agreement_162.pdf,8569510720,2025-01-14T23:57:58Z,Operations,POL-HR-5Y
hr-bucket,engineering-bucket/builds/artifact_163.jar,12942119812,2020-11-02T00:23:37Z,Legal,POL-SUP-1Y
hr-bucket,analytics-bucket/raw/events_164.parquet,5852437280,2021-12-24T08:55:34Z,Marketing,POL-ANL-1Y
marketing-bucket,legal-bucket/contracts/agreement_165.pdf,15598828171,2020-10-01T13:59:10Z,Sales,POL-FIN-7Y
legal-bucket,sales-bucket/presentations/deck_166.pptx,19013721439,2023-12-25T17:33:43Z,Operations,POL-SAL-2Y
hr-bucket,legal-bucket/contracts/agreement_167.pdf,6871734004,2025-09-24T10:37:04Z,Marketing,POL-FIN-7Y
hr-bucket,finance-bucket/reports/invoice_168.pdf,10973501259,2025-12-16T03:47:55Z,Engineering,POL-SUP-1Y
hr-bucket,support-bucket/tickets/case_169.json,15095403313,2020-03-26T18:37:43Z,Operations,POL-SUP-1Y
marketing-bucket,marketing-bucket/assets/2023/brand_logo_170.png,5035334651,2024-03-30T21:35:44Z,HR,POL-HR-5Y
sales-bucket,analytics-bucket/raw/events_171.parquet,15352216268,2024-04-02T01:07:42Z,Operations,POL-SAL-2Y
marketing-bucket,finance-bucket/reports/invoice_172.pdf,4425963904,2021-07-17T16:20:10Z,Sales,POL-SAL-2Y
support-bucket,finance-bucket/reports/invoice_173.pdf,18630035409,2021-02-09T14:00:41Z,Support,POL-ENG-3Y
sales-bucket,engineering-bucket/builds/artifact_174.jar,10214579208,2020-08-01T11:36:48Z,Engineering,POL-IT-5Y
marketing-bucket,engineering-bucket/builds/artifact_175.jar,3993617466,2025-11-15T17:58:17Z,Finance,POL-HR-5Y
data-lake-bucket,hr-bucket/files/employee_176.docx,12021939979,2021-04-30T04:26:01Z,Sales,POL-ENG-3Y
devops-bucket,sales-bucket/presentations/deck_177.pptx,9655408291,2021-02-17T23:47:07Z,Sales,POL-ENG-3Y
marketing-bucket,engineering-bucket/builds/artifact_178.jar,13209113614,2023-05-31T03:16:07Z,Operations,POL-MKT-3Y
data-lake-bucket,sales-bucket/presentations/deck_179.pptx,19688533178,2025-02-02T01:49:24Z,Support,POL-HR-5Y
support-bucket,engineering-bucket/builds/artifact_180.jar,6925920894,2020-07-08T06:11:59Z,Finance,POL-ANL-1Y
legal-bucket,marketing-bucket/assets/2023/brand_logo_181.png,19062494745,2024-12-09T17:02:02Z,Engineering,POL-FIN-7Y
hr-bucket,legal-bucket/contracts/agreement_182.pdf,14334920596,2021-08-23T22:37:16Z,Support,POL-OPS-2Y
engineering-bucket,finance-bucket/reports/invoice_183.pdf,10485776274,2025-05-07T08:38:12Z,Engineering,POL-SAL-2Y
hr-bucket,engineering-bucket/builds/artifact_184.jar,13777840448,2020-12-25T05:55:02Z,Legal,POL-HR-5Y
devops-bucket,finance-bucket/reports/invoice_185.pdf,13168965529,2022-01-24T22:47:05Z,Marketing,POL-OPS-2Y
support-bucket,analytics-bucket/raw/events_186.parquet,12137203944,2021-08-19T18:18:40Z,Finance,POL-IT-5Y
analytics-bucket,analytics-bucket/raw/events_187.parquet,3773317933,2022-04-24T02:53:08Z,Analytics,POL-ANL-1Y
engineering-bucket,support-bucket/tickets/case_188.json,18921073170,2022-10-05T13:48:12Z,Engineering,POL-ENG-3Y
support-bucket,marketing-bucket/assets/2023/brand_logo_189.png,12017768697,2020-08-29T19:53:13Z,Engineering,POL-FIN-7Y
legal-bucket,support-bucket/tickets/case_190.json,7219556466,2025-12-02T02:08:34Z,Analytics,POL-OPS-2Y
legal-bucket,hr-bucket/files/employee_191.docx,13737108162,2025-09-11T21:40:16Z,Marketing,POL-MKT-3Y
engineering-bucket,support-bucket/tickets/case_192.json,12787521176,2021-12-19T06:24:03Z,HR,POL-ENG-3Y
support-bucket,engineering-bucket/builds/artifact_193.jar,15878164029,2022-06-13T16:04:47Z,Legal,POL-HR-5Y
hr-bucket,support-bucket/tickets/case_194.json,17209664092,2020-06-13T13:44:36Z,Operations,POL-FIN-7Y
analytics-bucket,marketing-bucket/assets/2023/brand_logo_195.png,8747849523,2024-07-24T11:03:26Z,Marketing,POL-FIN-7Y
analytics-bucket,finance-bucket/reports/invoice_196.pdf,4253922128,2025-01-30T16:26:47Z,Analytics,POL-SUP-1Y
devops-bucket,finance-bucket/reports/invoice_197.pdf,12059964539,2021-09-02T02:44:58Z,Finance,POL-HR-5Y
legal-bucket,hr-bucket/files/employee_198.docx,17109781544,2025-01-08T18:06:39Z,Engineering,POL-OPS-2Y
engineering-bucket,legal-bucket/contracts/agreement_199.pdf,8310636688,2025-04-10T23:09:59Z,Sales,POL-OPS-2Y
devops-bucket,support-bucket/tickets/case_200.json,18732000078,2024-01-20T23:14:08Z,Support,POL-HR-5Y
analytics-bucket,hr-bucket/files/employee_201.docx,889936220,2023-09-06T18:11:46Z,HR,POL-IT-5Y
analytics-bucket,engineering-bucket/builds/artifact_202.jar,11865590245,2023-09-25T10:28:10Z,HR,POL-MKT-3Y
sales-bucket,finance-bucket/reports/invoice_203.pdf,2830253962,2024-10-27T22:51:55Z,Analytics,POL-MKT-3Y
devops-bucket,legal-bucket/contracts/agreement_204.pdf,3411671095,2020-03-08T11:29:03Z,Finance,POL-LGL-7Y
engineering-bucket,marketing-bucket/assets/2023/brand_logo_205.png,9908333453,2025-11-05T16:44:55Z,Engineering,POL-IT-5Y
marketing-bucket,finance-bucket/reports/invoice_206.pdf,14974452370,2022-05-16T21:18:07Z,Marketing,POL-FIN-7Y
legal-bucket,engineering-bucket/builds/artifact_207.jar,8486789583,2024-01-23T20:59:47Z,Operations,POL-ENG-3Y
sales-bucket,hr-bucket/files/employee_208.docx,2105418733,2020-03-05T18:23:52Z,IT,POL-LGL-7Y
marketing-bucket,analytics-bucket/raw/events_209.parquet,7944882051,2022-07-08T06:20:08Z,Operations,POL-OPS-2Y
marketing-bucket,marketing-bucket/assets/2023/brand_logo_210.png,15789873063,2025-10-08T19:16:24Z,IT,POL-ENG-3Y
marketing-bucket,marketing-bucket/assets/2023/brand_logo_211.png,16099510495,2021-06-10T17:35:32Z,Support,POL-FIN-7Y
marketing-bucket,analytics-bucket/raw/events_212.parquet,4726601208,2023-04-04T12:32:59Z,Marketing,POL-ENG-3Y
marketing-bucket,hr-bucket/files/employee_213.docx,12193744291,2024-08-16T06:49:56Z,Engineering,POL-IT-5Y
support-bucket,engineering-bucket/builds/artifact_214.jar,12287277794,2025-10-31T23:29:55Z,Analytics,POL-LGL-7Y
marketing-bucket,sales-bucket/presentations/deck_215.pptx,8926332720,2021-01-09T03:24:12Z,Support,POL-LGL-7Y
support-bucket,legal-bucket/contracts/agreement_216.pdf,16514863469,2020-07-26T23:29:12Z,Legal,POL-LGL-7Y
sales-bucket,analytics-bucket/raw/events_217.parquet,11665845067,2021-03-19T01:01:24Z,HR,POL-OPS-2Y
devops-bucket,finance-bucket/reports/invoice_218.pdf,19931169164,2021-10-05T02:43:43Z,Support,POL-ENG-3Y
legal-bucket,marketing-bucket/assets/2023/brand_logo_219.png,14737160974,2021-06-12T21:18:57Z,Legal,POL-ANL-1Y
sales-bucket,engineering-bucket/builds/artifact_220.jar,14787062548,2025-02-17T14:25:32Z,Engineering,POL-SUP-1Y
hr-bucket,sales-bucket/presentations/deck_221.pptx,9003343618,2020-09-02T18:21:00Z,Finance,POL-MKT-3Y
analytics-bucket,support-bucket/tickets/case_222.json,8783671266,2023-04-06T15:49:17Z,Engineering,POL-IT-5Y
devops-bucket,finance-bucket/reports/invoice_223.pdf,18057158786,2023-07-14T08:41:34Z,HR,POL-SUP-1Y
hr-bucket,finance-bucket/reports/invoice_224.pdf,4045518306,2021-07-12T19:06:38Z,IT,POL-FIN-7Y
support-bucket,sales-bucket/presentations/deck_225.pptx,15996568576,2022-08-19T17:59:01Z,Marketing,POL-FIN-7Y
